mp_election_index,mp_name,nature_membership,term_start_date,term_end_date,term,pc_name,state,mp_political_party,mp_gender,educational_qualification,educational_qualification_details,mp_age,debates,private_member_bills,questions,attendance,mp_note,national_average_debate,national_average_pmb,national_average_questions,attendance_national_average,state_average_debate,state_average_pmb,state_average_questions,attendance_state_average,mp_house
170012,Geetha Viswanath Vanga,Elected,23-05-2019,In Office,First Term,Kakinada,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,Female,Post Graduate,"M.A. (Politics and Public Administration), M.Sc. (Psychology), Master of Law
Educated at Extension Centre Andhra University, Madras University, (Kakinada) and Nagpur University ",59,77,1,346,0.686131387, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,37.96833333,1.04,279.925,0.729402372,Lok Sabha
170002,Chinta Anuradha,Elected,23-05-2019,In Office,First Term,Amalapuram,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,Female,Graduate,"B.A. Educated at Lalitha Degree College, Osmania University, Hyderabad (now Telangana), Andhra Pradesh",51,37,1,280,0.667883212, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,37.96833333,1.04,279.925,0.729402372,Lok Sabha
170020,Margani Bharat Ram,Elected,23-05-2019,In Office,First Term,Rajahmundry,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,Male,Graduate,B.C.A.,41,46,1,286,0.656934307, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,37.96833333,1.04,279.925,0.729402372,Lok Sabha
170017,Kanumuru Raghu Rama Krishna Raju,Elected,23-05-2019,In Office,First Term,Narsapuram,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,Male,Professional Post Graduate,"M. Pharma, Educated at Andhra University, Vishakapatnam, Andhra Pradesh",61,75,1,376,0.97810219, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,37.96833333,1.04,279.925,0.729402372,Lok Sabha
170024,Kesineni Srinivas,Elected,23-05-2019,In Office,Second Term,Vijayawada,Andhra Pradesh,Telugu Desam Party,Male,Matric,Matric,58,27,3,215,0.810218978, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,37.96833333,1.04,279.925,0.729402372,Lok Sabha
170016,Lavu Sri Krishna Devarayalu,Elected,23-05-2019,In Office,First Term,Narasaraopet,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,Male,Professional Post Graduate,Post Graduate (MS) Journalism and Mass Communication,40,81,7,285,0.821167883, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,37.96833333,1.04,279.925,0.729402372,Lok Sabha
170013,Sanjeev Kumar Ayushman,Elected,23-05-2019,In Office,First Term,Kurnool,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,Male,Doctorate,"M.B.B.S., M.S., M.Ch. Educated at Kurnool Medical College, Kurnool, Andhra Pradesh",57,19,6,243,0.682481752, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,37.96833333,1.04,279.925,0.729402372,Lok Sabha
170004,Talari Rangaiah,Elected,23-05-2019,In Office,First Term,Anantapur,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,Male,Post Graduate,"Master of Arts Educated at Usmania University Hydrabad, A.P.",53,22,1,215,0.854014599, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,37.96833333,1.04,279.925,0.729402372,Lok Sabha
170021,P.V. Midhun Reddy,Elected,23-05-2019,In Office,Second Term,Rajampet,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,Male,Professional Post Graduate,MBA,46,33,2,341,0.675182482, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,37.96833333,1.04,279.925,0.729402372,Lok Sabha
170028,Kiren Rijiju,Elected,23-05-2019,In Office,Third Term,Arunachal West,Arunachal Pradesh,Bharatiya Janata Party,Male,Professional Graduate,"B.A.,LL.B. 
Educated at Hansraj College and Campus Law Centre, Faculty of Law,
University of Delhi",52,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2019 to 10-02-2024.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lok Sabha
170030,Abdul Khaleque,Elected,23-05-2019,In Office,First Term,Barpeta,Assam,Indian National Congress,Male,Post Graduate,"M.A. (Double) Educated at Guwahati University, Vinayika Mission University",53,68,8,279,0.908759124, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,29.69230769,1.461538462,174,0.780179674,Lok Sabha
170039,Dilip Saikia,Elected,23-05-2019,In Office,First Term,Mangaldoi,Assam,Bharatiya Janata Party,Male,Graduate,"B.Com, Educated at Guwahati Commerce College",50,42,3,354,0.813868613, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,29.69230769,1.461538462,174,0.780179674,Lok Sabha
170052,Alok Kumar Suman,Elected,23-05-2019,In Office,First Term,Gopalganj,Bihar,Janata Dal (United),Male,Professional Graduate,"M.B.B.S., M.S. (General Surgery), Educated at Patna Medical College, Patna University",66,104,15,270,0.97080292, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,42.36470588,2.061344538,155.602521,0.855039426,Lok Sabha
170040,Pradyut Bordoloi,Elected,23-05-2019,In Office,First Term,Nawgong,Assam,Indian National Congress,Male,Post Graduate,"M.A., M.Phil.,PGDM(M)
Educated at Cotton College, Gauhati University, JNU, New Delhi and Delhi Institute of Management ",64,31,3,256,0.817518248, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,29.69230769,1.461538462,174,0.780179674,Lok Sabha
170035,Gourav Gogoi,Elected,23-05-2019,In Office,Second Term,Kaliabor,Assam,Indian National Congress,Male,Post Graduate,Post Graduate,41,78,5,245,0.759124088, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,29.69230769,1.461538462,174,0.780179674,Lok Sabha
170032,Rameswar Teli,Elected,23-05-2019,In Office,Second Term,Dibrugarh,Assam,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Higher Secondary,53,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2019 to 10-02-2024.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lok Sabha
170068,Sanjay Jaiswal,Elected,23-05-2019,In Office,Third Term,Paschim Champaran,Bihar,Bharatiya Janata Party,Male,Professional Post Graduate,"M.B.B.S., M.D. (General Medicine); Educated at Patna Medical College and Darbhanga Medical College",58,94,9,195,0.777372263, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,42.36470588,2.061344538,155.602521,0.855039426,Lok Sabha
170076,Rama Devi,Elected,23-05-2019,In Office,Fourth Term,Sheohar,Bihar,Bharatiya Janata Party,Female,Professional Graduate,"B.A., LL.B.; S.K.J.Law College, Bihar University, Muzaffarpur and Jaintpur College, Bihar University, Vaishali",74,99,10,273,0.98540146, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,42.36470588,2.061344538,155.602521,0.855039426,Lok Sabha
170079,Dileshwar Kamait,Elected,23-05-2019,In Office,First Term,Supaul,Bihar,Janata Dal (United),Male,Graduate,"B.A., Personnel Management, Educated at Bhagalpur University, Bhagalpur, Bihar",78,56,4,304,0.98540146, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,42.36470588,2.061344538,155.602521,0.855039426,Lok Sabha
170060,Mohammad Jawed,Elected,23-05-2019,In Office,First Term,Kishanganj,Bihar,Indian National Congress,Male,Professional Graduate,"M.B.B.S. Government Medical College, Srinagar, J & K",60,53,6,229,0.95620438, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,42.36470588,2.061344538,155.602521,0.855039426,Lok Sabha
170063,Janardan Singh Sigriwal,Elected,23-05-2019,In Office,Second Term,Maharajganj,Bihar,Bharatiya Janata Party,Male,Post Graduate,M.A.,65,95,16,322,0.96350365, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,42.36470588,2.061344538,155.602521,0.855039426,Lok Sabha
170074,Rajiv Pratap Rudy,Elected,23-05-2019,In Office,Fourth Term,Saran,Bihar,Bharatiya Janata Party,Male,Post Graduate,"B.A. (Hons.) (Eco.), M.A. (Eco.), LL.B., Commercial Pilot Licence Educated at St. Michaels High School, Patna (Bihar), Government College and Panjab University, Chandigarh",61,77,7,261,0.97810219, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,42.36470588,2.061344538,155.602521,0.855039426,Lok Sabha
170080,Nityanand Rai,Elected,23-05-2019,In Office,Second Term,Ujiarpur,Bihar,Bharatiya Janata Party,Male,Graduate,B.A. (Hons),58,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2019 to 10-02-2024.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lok Sabha
