Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
2198,Dr. Boora Narsaiah Goud,BHONGIR,BJP,1,Post Graduate,"Rs 39,29,34,699 ~ 39 Crore+","Rs 3,22,01,056 ~ 3 Crore+"
2199,Dr. Brijesh Kumar,BAHRAICH (SC),BSP,0,Doctorate,"Rs 2,66,83,481 ~ 2 Crore+","Rs 98,00,000 ~ 98 Lacs+"
2200,Dr. Damodar Gurjar,RAJSAMAND,INC,0,Doctorate,,
2201,Dr. Devinder Singh Gill,LUDHIANA,Aam Lok Party United,0,12th Pass,"Rs 26,00,000 ~ 26 Lacs+",Rs 0 ~
2202,Dr. Devyani Pandit,PUNE,IND,0,Doctorate,"Rs 2,82,96,888 ~ 2 Crore+",Rs 0 ~
2203,Dr. Dhai Akshar,JABALPUR,IND,0,Graduate,"Rs 5,20,70,000 ~ 5 Crore+","Rs 1,14,493 ~ 1 Lacs+"
2204,Dr. Dharmananda Gahir,KALAHANDI,IND,0,Post Graduate,"Rs 1,11,23,843 ~ 1 Crore+",Rs 0 ~
2205,Dr. Dinkar More,BIDAR,IND,0,Post Graduate,,
2206,Dr. Durga Wati Bharia,SHAHDOL (ST),Chhattisgarh Vikas Ganga Rashtriya Party,0,8th Pass,"Rs 61,000 ~ 61 Thou+",Rs 0 ~
2207,Dr. G H Imrapur,HAVERI,IND,1,Doctorate,"Rs 23,57,00,000 ~ 23 Crore+","Rs 74,00,000 ~ 74 Lacs+"
2208,Dr. Gajendra Singh Rathore,NAGAUR,BSP,0,Doctorate,"Rs 17,93,000 ~ 17 Lacs+",Rs 0 ~
2209,Dr. Ganapathi Kongarapu,VISAKHAPATNAM,Republican Party of India (A),0,Doctorate,"Rs 5,12,282 ~ 5 Lacs+","Rs 3,00,000 ~ 3 Lacs+"
2210,Dr. Govardhan Bhiwaji Khandagale,PARBHANI,Bahujan Bharat Party,0,Doctorate,,
2211,Dr. Guduri Srinivas,RAJAHMUNDRY,YSRCP,0,Doctorate,"Rs 16,45,68,281 ~ 16 Crore+","Rs 1,26,94,933 ~ 1 Crore+"
2212,Dr. Gurappa H Imrapur,DHARWAD,IND,1,Post Graduate,"Rs 23,58,10,000 ~ 23 Crore+","Rs 74,00,000 ~ 74 Lacs+"
2213,Dr. H. M. Nanjundaswamy,MYSORE,Samajwadi Janata Party(Karnataka),0,Doctorate,"Rs 1,24,53,525 ~ 1 Crore+","Rs 56,00,000 ~ 56 Lacs+"
2214,Dr. H.B.M. Hiremath,TUMKUR,Kannada Paksha,0,Post Graduate,"Rs 2,37,40,184 ~ 2 Crore+","Rs 35,50,000 ~ 35 Lacs+"
2215,Dr. Harishchandra Sahu,DURG,IND,0,10th Pass,,
2216,Dr. Hemang Joshi,VADODARA,BJP,0,Post Graduate,"Rs 1,03,88,939 ~ 1 Crore+","Rs 31,80,318 ~ 31 Lacs+"
2217,Dr. Hemant Parmar,UJJAIN (SC),Bhim Sena,0,Graduate Professional,"Rs 68,30,000 ~ 68 Lacs+",Rs 0 ~
2218,Dr. Hemant Vishnu Savara,PALGHAR (ST),BJP,0,Graduate Professional,"Rs 8,16,22,050 ~ 8 Crore+","Rs 1,07,76,056 ~ 1 Crore+"
2219,Dr. Hiranmoy Chattopadhyaya,GHATAL,BJP,3,Doctorate,"Rs 6,37,43,933 ~ 6 Crore+","Rs 1,00,52,037 ~ 1 Crore+"
2220,Dr. Ishwar Mahadev Yamgar,HATKANANGALE,Bharatiya Lokshakti Party,0,Graduate Professional,,
2221,Dr. Jayveer Singh Dhangar,HATHRAS (SC),Rashtra Uday Party,0,Post Graduate,"Rs 1,01,61,000 ~ 1 Crore+",Rs 0 ~
2222,Dr. K. Rangaiah,GODDA,IND,0,Post Graduate,"Rs 10,00,000 ~ 10 Lacs+",Rs 0 ~
2223,Dr. K. S. Radhakrishnan,ERNAKULAM,BJP,211,Doctorate,"Rs 1,54,99,146 ~ 1 Crore+",Rs 0 ~
2224,Dr. Kadayya Hiremath (Swamiji),CHIKKODI,IND,0,Post Graduate,"Rs 16,00,000 ~ 16 Lacs+","Rs 2,00,000 ~ 2 Lacs+"
2225,Dr. Kailash Nivrutti Jadhav,AHMEDNAGAR,Maharashtra Vikas Aghadi,0,Post Graduate,,
2226,Dr. Kalge Shivaji Bandappa,LATUR (SC),INC,0,Graduate Professional,"Rs 32,26,19,499 ~ 32 Crore+","Rs 2,38,91,845 ~ 2 Crore+"
2227,Dr. Kamlesh Kumar Saini,SONIPAT,IND,0,Doctorate,"Rs 31,73,33,444 ~ 31 Crore+","Rs 1,85,00,000 ~ 1 Crore+"
2228,Dr. Kanubhai Khadadiya,NAVSARI,SUCI(C),0,Doctorate,"Rs 1,27,35,079 ~ 1 Crore+","Rs 8,51,380 ~ 8 Lacs+"
2229,Dr. Kirsan Namdeo,GADCHIROLI - CHIMUR (ST),INC,0,Doctorate,"Rs 5,94,76,042 ~ 5 Crore+","Rs 28,28,488 ~ 28 Lacs+"
2230,Dr. L. S. Uday Singh,SURGUJA (ST),Gondvana Gantantra Party,0,Graduate Professional,,
2231,Dr. Lata Wankhede,SAGAR,BJP,0,Doctorate,"Rs 17,34,10,882 ~ 17 Crore+","Rs 1,38,00,070 ~ 1 Crore+"
2232,Dr. M. Jyothiraj,KOZHIKODE,SUCI(C),0,Doctorate,"Rs 99,71,521 ~ 99 Lacs+",Rs 0 ~
2233,Dr. M.P Abdussamad Samadani,PONNANI,Indian Union Muslim League,1,Doctorate,"Rs 2,19,77,344 ~ 2 Crore+",Rs 0 ~
2234,Dr. M.R. Ranganatha,CHIKKBALLAPUR,IND,0,Doctorate,"Rs 1,93,30,223 ~ 1 Crore+","Rs 56,85,615 ~ 56 Lacs+"
2235,Dr. Mahendra Nath Pandey,CHANDAULI,BJP,0,Doctorate,,
2236,Dr. Mahesh Sharma,GAUTAM BUDDHA NAGAR,BJP,0,Graduate Professional,"Rs 83,82,09,103 ~ 83 Crore+","Rs 2,26,89,478 ~ 2 Crore+"
2237,Dr. Mansukh Mandaviya,PORBANDAR,BJP,0,Doctorate,"Rs 7,95,04,705 ~ 7 Crore+",Rs 0 ~
2238,Dr. Marapally Sudheer Kumar,WARANGAL (SC),BRS,0,Post Graduate,"Rs 2,04,96,997 ~ 2 Crore+",Rs 0 ~
2239,Dr. Mazel Ampareen Lyngdoh,SHILLONG (ST),National Peoples Party,1,Doctorate,"Rs 2,22,13,833 ~ 2 Crore+","Rs 38,96,450 ~ 38 Lacs+"
2240,Dr. Medisi Ratnarao Alias Vinay,RAJAHMUNDRY,IND,0,Graduate Professional,Nil,
2241,Dr. Mendem Santhosh Kumar (Pedda Babulu),ELURU,Liberation Congress Party,0,Others,"Rs 6,00,000 ~ 6 Lacs+","Rs 2,00,000 ~ 2 Lacs+"
2242,Dr. Menka Devi Singh,RAIGARH (ST),INC,0,Not Given,"Rs 12,33,31,773 ~ 12 Crore+",Rs 0 ~
2243,Dr. Mohan Ramraoji Raikwar,WARDHA,BSP,0,Post Graduate,"Rs 71,04,667 ~ 71 Lacs+","Rs 83,13,955 ~ 83 Lacs+"
2244,Dr. Moreshwar Ramji Nagrale,WARDHA,Republican Party of India,0,Doctorate,"Rs 2,06,20,000 ~ 2 Crore+","Rs 26,14,000 ~ 26 Lacs+"
2245,Dr. Morigadi Krishna,BHONGIR,IND,0,Doctorate,Nil,
2246,Dr. Muttu S Surakod (Madar),BAGALKOT,IND,0,10th Pass,"Rs 67,25,000 ~ 67 Lacs+","Rs 9,50,000 ~ 9 Lacs+"
2247,Dr. Naval Kishor Shakya,FARRUKHABAD,SP,2,Post Graduate,"Rs 22,64,63,798 ~ 22 Crore+","Rs 17,92,000 ~ 17 Lacs+"
2248,Dr. Nirmal Kumar Saha,BAHARAMPUR,BJP,0,Post Graduate,"Rs 18,04,42,184 ~ 18 Crore+",Rs 0 ~
2249,Dr. Omprakash Sahu,RAIPUR,IND,0,Doctorate,"Rs 51,00,000 ~ 51 Lacs+",Rs 0 ~
2250,Dr. P. D. Agarwal,GWALIOR,IND,0,Post Graduate,,
2251,Dr. Palwinder Kaur,LUDHIANA,IND,0,Doctorate,"Rs 24,39,769 ~ 24 Lacs+",Rs 0 ~
2252,Dr. Piyush K. Saxena,THANE,IND,0,Doctorate,"Rs 12,28,66,000 ~ 12 Crore+",Rs 0 ~
2253,Dr. Prabha Mallikarjun,DAVANAGERE,INC,0,Graduate,"Rs 2,41,28,03,910 ~ 241 Crore+","Rs 24,71,24,278 ~ 24 Crore+"
2254,Dr. Prabhaben Kishorsinh Taviyad,DAHOD (ST),INC,0,Post Graduate,"Rs 2,03,81,991 ~ 2 Crore+",Rs 0 ~
2255,Dr. Prashant Yadaorao Padole,BHANDARA GONDIYA,INC,0,Graduate Professional,,
2256,Dr. R. Gangadhar,SECUNDERABAD,SUCI(C),0,Doctorate,"Rs 3,48,000 ~ 3 Lacs+",Rs 0 ~
2257,Dr. Rahul Vasudevbhai Vyas,VADODARA,IND,0,Doctorate,"Rs 5,03,99,405 ~ 5 Crore+","Rs 39,46,187 ~ 39 Lacs+"
2258,Dr. Raj Kumar Chabbewal,HOSHIARPUR (SC),AAP,0,Post Graduate,"Rs 20,76,95,398 ~ 20 Crore+","Rs 8,44,02,704 ~ 8 Crore+"
2259,Dr. Rajashree Mallick,JAGATSINGHPUR (SC),BJD,0,Post Graduate,"Rs 7,14,23,329 ~ 7 Crore+",Rs 0 ~
2260,Dr. Rajendra Suryavanshi,RAJGARH,BSP,0,Post Graduate,,
2261,Dr. Rajesh Kumar Singh,NORTH EAST DELHI,IND,0,Post Graduate,"Rs 1,94,31,219 ~ 1 Crore+","Rs 48,69,362 ~ 48 Lacs+"
2262,Dr. Rajesh Mehandia,SIRSA (SC),Bahujan Republican Socialist Party,0,Doctorate,"Rs 33,49,000 ~ 33 Lacs+","Rs 2,60,000 ~ 2 Lacs+"
2263,Dr. Rajesh Mishra,SIDHI,BJP,1,Post Graduate,"Rs 14,40,08,066 ~ 14 Crore+","Rs 1,84,27,959 ~ 1 Crore+"
2264,Dr. Ram Roop Meena,DAUSA (ST),IND,0,Doctorate,"Rs 1,60,000 ~ 1 Lacs+",Rs 0 ~
2265,Dr. Ramavatar Sharma,SAGAR,SUCI(C),0,Doctorate,,
2266,Dr. Rashmi Yadav,MATHURA,IND,0,Doctorate,"Rs 99,17,275 ~ 99 Lacs+","Rs 11,77,019 ~ 11 Lacs+"
2267,Dr. Ravindra Nath Shukla,SIWAN,IND,0,Post Graduate,"Rs 5,23,13,123 ~ 5 Crore+",Rs 0 ~
2268,Dr. Rayapudi Rajesh Vijay Kumar,GUNTUR,Indian Labour Party (Ambedkar Phule),0,Doctorate,"Rs 40,000 ~ 40 Thou+",Rs 0 ~
2269,Dr. Reddypogu Praveen Kumar,KURNOOL,IND,0,Doctorate,"Rs 3,35,000 ~ 3 Lacs+","Rs 1,44,500 ~ 1 Lacs+"
2270,Dr. Rekhaben Hiteshbhai Chaudhari,BANASKANTHA,BJP,0,Doctorate,,
2271,Dr. Ricky Andrew J. Syngkon,SHILLONG (ST),Voice of the People Party,0,Doctorate,"Rs 1,31,28,411 ~ 1 Crore+","Rs 4,43,048 ~ 4 Lacs+"
2272,Dr. Rohit Daharia,JANJGIR-CHAMPA (SC),BSP,0,Graduate Professional,"Rs 1,49,59,213 ~ 1 Crore+","Rs 15,64,844 ~ 15 Lacs+"
2273,Dr. Sachin Sahebrao Patil,KALYAN,IND,0,Graduate Professional,"Rs 1,34,00,000 ~ 1 Crore+","Rs 78,00,000 ~ 78 Lacs+"
2274,Dr. Sandeep Saurav,NALANDA,CPI(ML)(L),1,Doctorate,"Rs 22,48,274 ~ 22 Lacs+","Rs 11,29,483 ~ 11 Lacs+"
2275,Dr. Savita Kumari Ahari,UDAIPUR (ST),IND,0,Post Graduate,,
2276,Dr. Sharmila Sarkar,BARDHAMAN PURBA (SC),AITC,0,Post Graduate,"Rs 5,49,78,907 ~ 5 Crore+",Rs 0 ~
2277,Dr. Shivkumar Dahariya,JANJGIR-CHAMPA (SC),INC,0,Graduate Professional,"Rs 13,32,74,015 ~ 13 Crore+","Rs 3,38,00,000 ~ 3 Crore+"
2278,Dr. Shriram Vitthalrao Khalge,BEED,IND,1,Others,"Rs 79,11,000 ~ 79 Lacs+","Rs 21,92,403 ~ 21 Lacs+"
2279,Dr. Shyamdhar Tiwari,BHADOHI,IND,0,Doctorate,"Rs 2,26,43,988 ~ 2 Crore+",Rs 0 ~
2280,Dr. Siddharth Rajendra Takankar,BEED,BSP,0,Doctorate,,
2281,Dr. Somnath Alias Balasaheb Arjun Pol,BARAMATI,IND,4,Graduate Professional,"Rs 10,16,892 ~ 10 Lacs+","Rs 1,31,000 ~ 1 Lacs+"
2282,Dr. Srilal Kisku,DUMKA (ST),IND,0,Graduate Professional,"Rs 98,25,000 ~ 98 Lacs+",Rs 0 ~
2283,Dr. Sujay Radhakrishna Vikhepatil,AHMEDNAGAR,BJP,0,Post Graduate,"Rs 29,18,88,999 ~ 29 Crore+","Rs 3,64,13,209 ~ 3 Crore+"
2284,Dr. Sunil Namdev Patil,KOLHAPUR,National Black Panther Party,1,Graduate Professional,"Rs 3,89,37,313 ~ 3 Crore+","Rs 26,00,000 ~ 26 Lacs+"
2285,Dr. Sushma Maurya,MUMBAI NORTH - EAST,IND,0,Doctorate,,
2286,Dr. Thummapala Hari Shankar,ANAKAPALLE,IND,0,Post Graduate,"Rs 78,54,500 ~ 78 Lacs+","Rs 11,00,000 ~ 11 Lacs+"
2287,Dr. Umesh G Jadhav,GULBARGA (SC),BJP,0,Post Graduate,"Rs 6,21,66,332 ~ 6 Crore+","Rs 57,59,357 ~ 57 Lacs+"
2288,Dr. Vinod Kumar Bind,BHADOHI,BJP,0,Graduate Professional,"Rs 10,57,66,111 ~ 10 Crore+","Rs 2,93,13,481 ~ 2 Crore+"
2289,Dr. Virendra Chaudhri,MAHASAMUND,Bhartiya Shakti Chetna Party,0,Others,"Rs 1,93,55,000 ~ 1 Crore+",Rs 0 ~
2290,Dr. Virendra Kumar,TIKAMGARH (SC),BJP,0,Doctorate,,
2291,Dr. Yogendra Vitthal Kolte,RAVER,IND,1,Post Graduate,"Rs 1,50,000 ~ 1 Lacs+",Rs 0 ~
2292,Dr.A.R.Shanmugam,KRISHNAGIRI,IND,0,Post Graduate,"Rs 3,50,000 ~ 3 Lacs+",Rs 0 ~
2293,Dr.J.Padmaja,HYDERABAD,Viduthalai Chiruthaigal Katchi,0,Doctorate,"Rs 1,72,000 ~ 1 Lacs+",Rs 0 ~
2294,Dr.Jayavardhan J,CHENNAI SOUTH,AIADMK,3,Post Graduate,"Rs 9,90,65,883 ~ 9 Crore+","Rs 3,99,38,000 ~ 3 Crore+"
2295,Dr.K.Sudhakar,CHIKKBALLAPUR,BJP,1,Graduate Professional,,
2296,Dr.Kalanidhi Veeraswamy,CHENNAI NORTH,DMK,0,Post Graduate,"Rs 61,06,14,066 ~ 61 Crore+","Rs 38,33,64,472 ~ 38 Crore+"
2297,Dr.Lubna Sarwath,HYDERABAD,Vidhyarthula Rajakiya Party,0,Doctorate,"Rs 40,000 ~ 40 Thou+",Rs 0 ~
2298,Dr.Mallu Ravi,NAGARKURNOOL (SC),INC,6,Graduate Professional,"Rs 52,32,15,816 ~ 52 Crore+","Rs 4,78,68,830 ~ 4 Crore+"
2299,Dr.Nallani Ramesh Naidu,ANANTHAPUR,Andhra Rastra Praja Samithi,1,Graduate,"Rs 4,70,000 ~ 4 Lacs+",Rs 0 ~
2300,Dr.R.Karthikeyan,CHENNAI CENTRAL,Naam Tamilar Katchi,0,Post Graduate,,
2301,Dr.R.S.Praveen Kumar,NAGARKURNOOL (SC),BRS,5,Post Graduate,"Rs 1,41,94,896 ~ 1 Crore+","Rs 51,80,897 ~ 51 Lacs+"
2302,Dr.R.Shekar Thirumavalvan,BANGALORE SOUTH,IND,0,8th Pass,"Rs 25,54,812 ~ 25 Lacs+",Rs 0 ~
2303,Dr.Sanjay Jaiswal,PASCHIM CHAMPARAN,BJP,5,Post Graduate,"Rs 29,05,35,126 ~ 29 Crore+","Rs 13,525 ~ 13 Thou+"
2304,Dr.T.M.Thomas Issac,PATHANAMTHITTA,CPI(M),6,Doctorate,"Rs 13,38,909 ~ 13 Lacs+",Rs 0 ~
2305,Dr.Tamilisai Soundararajan,CHENNAI SOUTH,BJP,0,Graduate Professional,,
2306,Droupadi Majhi,KALAHANDI,INC,1,10th Pass,"Rs 42,91,379 ~ 42 Lacs+","Rs 3,93,910 ~ 3 Lacs+"
2307,Dubala Sri Sailam,MEDAK,IND,0,5th Pass,"Rs 29,00,000 ~ 29 Lacs+",Rs 0 ~
2308,Duda Mahipal,PEDDAPALLE (SC),IND,0,Graduate,"Rs 50,000 ~ 50 Thou+",Rs 0 ~
2309,Dujram Bouddh,KORBA,BSP,0,12th Pass,"Rs 9,47,000 ~ 9 Lacs+","Rs 13,46,000 ~ 13 Lacs+"
2310,Dulal Chandra Goswami,KATIHAR,JD(U),1,Graduate,,
2311,Duleshwar Saw,CHATRA,Bharatheeya Jawan Kisan Party,0,8th Pass,"Rs 2,49,40,000 ~ 2 Crore+","Rs 30,000 ~ 30 Thou+"
2312,Duli Chand Saini,TONK-SAWAI MADHOPUR,Rajasthan Raj Party,4,12th Pass,"Rs 18,09,00,000 ~ 18 Crore+","Rs 4,00,000 ~ 4 Lacs+"
2313,Dulu Ahmed,BARPETA,IND,15,Graduate,"Rs 63,57,12,765 ~ 63 Crore+","Rs 11,86,20,393 ~ 11 Crore+"
2314,Dulu Dey,DUM DUM,IND,0,10th Pass,"Rs 24,19,092 ~ 24 Lacs+",Rs 0 ~
2315,Dulu Mahato,DHANBAD,BJP,22,12th Pass,,
2316,Dumavath Swamy Naik,NANDYAL,IND,0,12th Pass,"Rs 55,70,000 ~ 55 Lacs+",Rs 0 ~
2317,Durai M,ARANI,BSP,0,Others,"Rs 5,32,000 ~ 5 Lacs+",Rs 0 ~
2318,Durai Vaiko,TIRUCHIRAPPALLI,Marumalarchi Dravida Munnetra Kazhagam,0,Post Graduate,"Rs 35,90,84,317 ~ 35 Crore+","Rs 2,55,69,046 ~ 2 Crore+"
2319,Durairaj C,NAMAKKAL,IND,0,10th Pass,"Rs 23,65,000 ~ 23 Lacs+",Rs 0 ~
2320,Duraisamy A,COIMBATORE,IND,0,8th Pass,,
2321,Durga Lal Murmu,SINGHBHUM (ST),IND,0,Others,"Rs 3,33,000 ~ 3 Lacs+",Rs 0 ~
2322,Durga Mousi,DAMOH,IND,0,Literate,"Rs 7,31,500 ~ 7 Lacs+",Rs 0 ~
2323,Durga Murmu,RAIGANJ,Ambedkarite Party of India,2,10th Pass,"Rs 6,12,000 ~ 6 Lacs+","Rs 14,12,000 ~ 14 Lacs+"
2324,Durga Palvancha,MAHABUBABAD (ST),IND,1,Graduate Professional,"Rs 11,50,000 ~ 11 Lacs+","Rs 48,000 ~ 48 Thou+"
2325,Durga Prasad,DAKSHINA KANNADA,Karunada Sevakara Party,0,12th Pass,,
2326,Durga Prasad D Byatarayanaji,ANANTHAPUR,Challengers Party,0,Graduate Professional,"Rs 4,88,58,000 ~ 4 Crore+",Rs 0 ~
2327,Durga Prasad Meena,JHUNJHUNU,Ambedkarite Party of India,0,Graduate,"Rs 45,601 ~ 45 Thou+","Rs 50,000 ~ 50 Thou+"
2328,Durga Prasad T,CHEVELLA,Praja Velugu Party,0,Post Graduate,"Rs 13,34,900 ~ 13 Lacs+",Rs 0 ~
2329,Durgadas (D. D.) Uikey,BETUL (ST),BJP,0,Post Graduate,"Rs 1,84,87,232 ~ 1 Crore+","Rs 11,82,315 ~ 11 Lacs+"
2330,Durgadas Boro,DARRANG-UDALGURI,Bodoland Peoples Front,0,Graduate,,
2331,Durgam Ramulu,PEDDAPALLE (SC),IND,0,12th Pass,"Rs 5,386 ~ 5 Thou+",Rs 0 ~
2332,Durgam Santhosh,PEDDAPALLE (SC),Prajarajya Samithi,0,12th Pass,"Rs 6,000 ~ 6 Thou+",Rs 0 ~
2333,Durgananda Mahavir Nayak,DARBHANGA,BSP,0,Post Graduate,"Rs 13,95,67,172 ~ 13 Crore+","Rs 56,25,000 ~ 56 Lacs+"
2334,Durgaprasad Guntu,VISAKHAPATNAM,Bhartiya Rashtriya Dal,0,Post Graduate,"Rs 35,59,000 ~ 35 Lacs+","Rs 2,00,000 ~ 2 Lacs+"
2335,Durgesh Kumar,PRATAPGARH,Rastriya Atal Janta Party,0,Graduate,,
2336,Durgesh Kumar Vishwakarma,SATNA,IND,0,Graduate Professional,"Rs 2,02,59,449 ~ 2 Crore+",Rs 0 ~
2337,Durgesh Nandan Singh,PATALIPUTRA,IND,0,Post Graduate,"Rs 1,80,20,000 ~ 1 Crore+","Rs 1,00,000 ~ 1 Lacs+"
2338,Durgesh Singh Chauhan,VALMIKI NAGAR,BSP,0,12th Pass,"Rs 36,20,300 ~ 36 Lacs+","Rs 85,000 ~ 85 Thou+"
2339,"Durugan, M.",ARANI,United Republican Party of India,0,Graduate,"Rs 1,36,000 ~ 1 Lacs+",Rs 0 ~
2340,Durvijay Singh Shakya,BADAUN,BJP,0,Post Graduate,,
2341,Dushyant Singh,JHALAWAR-BARAN,BJP,0,Post Graduate,"Rs 38,93,08,540 ~ 38 Crore+","Rs 8,65,93,973 ~ 8 Crore+"
2342,Dv Naik,MAHABUBABAD (ST),IND,0,Graduate Professional,"Rs 19,36,300 ~ 19 Lacs+","Rs 5,76,248 ~ 5 Lacs+"
2343,Dwaraka Prasad Lala,GIRIDIH,IND,1,10th Pass,"Rs 95,72,000 ~ 95 Lacs+","Rs 9,00,000 ~ 9 Lacs+"
2344,Dwarik Nath Barman,RAIGANJ,IND,0,12th Pass,"Rs 20,000 ~ 20 Thou+",Rs 0 ~
2345,E Anil Kumar,NANDYAL,IND,0,Post Graduate,,
2346,E Gajendiran,ARANI,IND,0,10th Pass,"Rs 3,80,000 ~ 3 Lacs+",Rs 0 ~
2347,E Rajkumar,VELLORE,IND,0,12th Pass,"Rs 3,06,750 ~ 3 Lacs+",Rs 0 ~
2348,E. Iqbal,CHENNAI NORTH,BSP,0,5th Pass,"Rs 13,75,000 ~ 13 Lacs+",Rs 0 ~
2349,E. Tukaram,BELLARY (ST),INC,0,Post Graduate,"Rs 3,52,67,209 ~ 3 Crore+","Rs 1,23,25,000 ~ 1 Crore+"
2350,E.H. Nayak,SHIMOGA,IND,0,Post Graduate,,
2351,E.T. Mohammed Basheer,MALAPPURAM,Indian Union Muslim League,1,10th Pass,"Rs 2,02,52,293 ~ 2 Crore+",Rs 0 ~
2352,Easwaramoorthy M,NAMAKKAL,IND,0,10th Pass,"Rs 77,83,600 ~ 77 Lacs+",Rs 0 ~
2353,Eatala Rajender,MALKAJGIRI,BJP,45,Graduate,"Rs 54,01,78,712 ~ 54 Crore+","Rs 20,41,57,216 ~ 20 Crore+"
2354,Eda Sudhakara Reddy,ONGOLE,INC,1,Graduate Professional,"Rs 2,80,73,241 ~ 2 Crore+","Rs 1,89,022 ~ 1 Lacs+"
2355,Edurugatla Chitti Mallu,KHAMMAM,IND,0,Literate,,
2356,Eesari Suryaprakash Reddy,CHEVELLA,IND,0,Post Graduate,"Rs 1,80,70,736 ~ 1 Crore+","Rs 38,92,000 ~ 38 Lacs+"
2357,Eknath Nago Salunke,RAVER,IND,0,Graduate,"Rs 1,80,15,000 ~ 1 Crore+","Rs 3,12,672 ~ 3 Lacs+"
2358,Elamaram Kareem,KOZHIKODE,CPI(M),2,12th Pass,"Rs 99,27,253 ~ 99 Lacs+","Rs 7,50,000 ~ 7 Lacs+"
2359,Elangovan R,PERAMBALUR,BSP,0,10th Pass,"Rs 3,17,000 ~ 3 Lacs+",Rs 0 ~
2360,Elangovan. M,KANCHEEPURAM (SC),IND,0,10th Pass,,
2361,Elavarasan C,CHIDAMBARAM (SC),IND,0,10th Pass,"Rs 3,62,000 ~ 3 Lacs+",Rs 0 ~
2362,Elayarani. P.,DHARMAPURI,Ganasangam Party of India,0,Graduate,"Rs 69,500 ~ 69 Thou+",Rs 0 ~
2363,Ellappan A.K.D,CHENNAI SOUTH,Mahathma Makkal Munnetra Kazhakam,0,Others,"Rs 17,500 ~ 17 Thou+",Rs 0 ~
2364,Emaan Singh Mann,AMRITSAR,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),0,Graduate,"Rs 5,21,71,957 ~ 5 Crore+","Rs 16,08,293 ~ 16 Lacs+"
2365,Emani. Chandrasekhar Rao,GUNTUR,Navodayam Party,0,Graduate,,
2366,Eng Umesh Rajak,PATNA SAHIB,Peoples Party of India (Democratic),0,Graduate Professional,"Rs 6,69,582 ~ 6 Lacs+",Rs 0 ~
2367,Eng. Arjun Parihar,INDORE,IND,0,Graduate Professional,"Rs 1,84,100 ~ 1 Lacs+","Rs 72,000 ~ 72 Thou+"
2368,Eng. Deepak Ramesh Chandra Vichitra,DEWAS (SC),IND,0,Graduate Professional,"Rs 3,95,000 ~ 3 Lacs+",Rs 0 ~
2369,Engg Yogesh Kushwaha,PHULPUR,Pragatisheel Samaj Party,0,Others,"Rs 5,93,63,845 ~ 5 Crore+",Rs 0 ~
2370,Engi. Avinash Harishchandra Dhanawate,AMRAVATI (SC),Peoples Party of India (Democratic),0,Graduate Professional,,
2371,Engi. Bhanu Pratap Tande,RAIPUR,IND,0,Others,"Rs 70,67,770 ~ 70 Lacs+","Rs 27,00,000 ~ 27 Lacs+"
2372,Engineer Balusingh Gamad,RATLAM (ST),Bharat Adivasi Party,0,Graduate Professional,"Rs 82,20,000 ~ 82 Lacs+","Rs 20,50,000 ~ 20 Lacs+"
2373,Engineer Goverdhan Raj,DAMOH,BSP,0,Post Graduate,"Rs 13,92,785 ~ 13 Lacs+","Rs 4,60,000 ~ 4 Lacs+"
2374,Engineer Mahavir Singh Yadav,BHIWANI-MAHENDRAGARH,IND,0,Graduate Professional,"Rs 8,45,956 ~ 8 Lacs+",Rs 0 ~
2375,Engineer Reva Kurrey,JANJGIR-CHAMPA (SC),IND,0,Graduate Professional,,
2376,Engr. Lal Bahadur Yadav,RAIPUR,Gondvana Gantantra Party,0,Post Graduate,"Rs 1,41,29,090 ~ 1 Crore+","Rs 19,48,879 ~ 19 Lacs+"
2377,Er Arjun S,THANJAVUR,IND,0,Graduate Professional,"Rs 7,91,000 ~ 7 Lacs+","Rs 13,00,000 ~ 13 Lacs+"
2378,Er Daljeet Singh Saini,ANANDPUR SAHIB,Bharatheeya Jawan Kisan Party,0,12th Pass,"Rs 86,74,800 ~ 86 Lacs+",Rs 0 ~
2379,Er Jyoti Prakash Tamta,ALMORA (SC),Bahujan Mukti Party,0,Others,"Rs 3,07,60,000 ~ 3 Crore+",Rs 0 ~
2380,Er Prabakaran S,SALEM,IND,0,Graduate Professional,,
2381,Er Sandhya Rani Mallick,JAJPUR (SC),BSP,0,Graduate Professional,"Rs 3,50,000 ~ 3 Lacs+",Rs 0 ~
2382,Er Vishal Kumar,KURUKSHETRA,IND,0,Graduate Professional,"Rs 31,02,456 ~ 31 Lacs+","Rs 15,00,000 ~ 15 Lacs+"
2383,Er. Baldev Raj Katna (Debi),LUDHIANA,IND,0,Post Graduate,"Rs 2,30,000 ~ 2 Lacs+",Rs 0 ~
2384,Er. Baliram Sukhadev More,MADHA,IND,0,Graduate Professional,"Rs 14,07,568 ~ 14 Lacs+","Rs 3,75,345 ~ 3 Lacs+"
2385,Er. Basant Kumar Meshram,RAJNANDGAON,IND,0,Post Graduate,,
2386,Er. Deepak Kumar Verma,JHANSI,Al-Hind Party,0,Graduate Professional,"Rs 22,154 ~ 22 Thou+",Rs 0 ~
