Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
398,Ali Imran Ramz,RAIGANJ,INC,3,Graduate Professional,"Rs 3,82,24,607 ~ 3 Crore+","Rs 20,06,660 ~ 20 Lacs+"
399,Ali Mansoor,NIZAMABAD,Anna YSR Congress Party,1,12th Pass,"Rs 30,10,000 ~ 30 Lacs+","Rs 11,02,500 ~ 11 Lacs+"
400,Ali Mohammad Wani,ANANTNAG-RAJOURI,IND,0,Graduate,,
401,Aliek Sunder Meshram,MUMBAI NORTH,Bharatiya Mulnivasi Aazad Party,0,Graduate,"Rs 33,93,000 ~ 33 Lacs+","Rs 19,00,000 ~ 19 Lacs+"
402,Alik Kumar Kundu,KRISHNANAGAR,IND,0,Post Graduate,"Rs 11,51,510 ~ 11 Lacs+","Rs 2,25,097 ~ 2 Lacs+"
403,Alim Uddin Mazumder,KARIMGANJ,IND,0,12th Pass,"Rs 28,73,000 ~ 28 Lacs+",Rs 0 ~
404,Allam.Raja,THIRUPATHI (SC),IND,0,Doctorate,"Rs 2,01,060 ~ 2 Lacs+","Rs 8,00,000 ~ 8 Lacs+"
405,Allauddin Hayatchand Kazi,SANGLI,IND,0,Literate,,
406,Allu Sriramulu,VIZIANAGARAM,IND,0,8th Pass,"Rs 1,25,000 ~ 1 Lacs+",Rs 0 ~
407,Alok Dolai,ARAMBAG (SC),IND,0,Post Graduate,"Rs 24,42,757 ~ 24 Lacs+","Rs 12,47,000 ~ 12 Lacs+"
408,Alok Kumar Mehta,UJIARPUR,RJD,3,Graduate Professional,"Rs 10,58,15,493 ~ 10 Crore+","Rs 16,33,010 ~ 16 Lacs+"
409,Alok Kumar Singh,MUZAFFARPUR,IND,0,Not Given,"Rs 2,92,500 ~ 2 Lacs+",Rs 0 ~
410,Alok Mishra,KANPUR,IND,0,Graduate,,
411,Alok Misra,KANPUR,INC,5,Post Graduate,"Rs 35,59,66,144 ~ 35 Crore+","Rs 4,72,88,390 ~ 4 Crore+"
412,Alok Sharma,BHOPAL,BJP,4,Graduate,"Rs 8,86,25,237 ~ 8 Crore+","Rs 1,30,24,310 ~ 1 Crore+"
413,Alok Verma,KANNAUJ,Rashtriya Shoshit Samaj Party,1,Post Graduate,"Rs 7,84,73,726 ~ 7 Crore+","Rs 10,00,000 ~ 10 Lacs+"
414,Alpeshkumar Chandulal Trambadiya,JUNAGADH,Log Party,0,Graduate Professional,"Rs 78,61,971 ~ 78 Lacs+","Rs 24,33,001 ~ 24 Lacs+"
415,Alte Vishwanath Mahadev,LATUR (SC),BSP,1,Post Graduate,,
416,Altif,JHUNJHUNU,IND,0,Graduate Professional,"Rs 19,52,040 ~ 19 Lacs+","Rs 6,00,000 ~ 6 Lacs+"
417,Alyson Abonmai,OUTER MANIPUR (ST),IND,0,Graduate Professional,"Rs 96,45,000 ~ 96 Lacs+","Rs 6,33,333 ~ 6 Lacs+"
418,Amal Chandra Sarkar,KRISHNANAGAR,BSP,0,10th Pass,"Rs 78,38,500 ~ 78 Lacs+",Rs 0 ~
419,Amal Das,COOCH BEHAR (SC),IND,0,12th Pass,"Rs 5,53,008 ~ 5 Lacs+",Rs 0 ~
420,Amal Kumar Barman,ULUBERIA,IND,0,10th Pass,,
421,Amal Kumar Dey,KOLKATA UTTAR,IND,0,Graduate,"Rs 32,18,879 ~ 32 Lacs+","Rs 1,77,000 ~ 1 Lacs+"
422,Amal Kumar Deyati,ULUBERIA,Bharatiya Nyay-Adhikar Raksha Party,1,12th Pass,"Rs 34,11,000 ~ 34 Lacs+",Rs 0 ~
423,Amal Kumar Rabidas,MALDAHA DAKSHIN,IND,0,10th Pass,"Rs 27,50,808 ~ 27 Lacs+",Rs 0 ~
424,Amandeep Singh,LUDHIANA,Sehajdhari Sikh Party,1,10th Pass,"Rs 1,18,86,718 ~ 1 Crore+",Rs 0 ~
425,Amandeep Singh,BATHINDA,IND,3,10th Pass,,
426,Amanpreet Singh,SANGRUR,IND,1,5th Pass,"Rs 58,80,000 ~ 58 Lacs+","Rs 7,00,000 ~ 7 Lacs+"
427,Amanpreet Singh Mahadipur,AMRITSAR,IND,0,Graduate,"Rs 87,22,753 ~ 87 Lacs+","Rs 7,00,000 ~ 7 Lacs+"
428,Amansher Singh,GURDASPUR,AAP,0,12th Pass,"Rs 3,19,82,366 ~ 3 Crore+","Rs 1,95,99,158 ~ 1 Crore+"
429,Amar Kisan Kavale,PALGHAR (ST),IND,1,10th Pass,"Rs 13,19,000 ~ 13 Lacs+",Rs 0 ~
430,Amar Machindra Borhade,SHIRUR,IND,0,10th Pass,,
431,Amar Nath Singh Maurya,PHULPUR,SP,2,Graduate Professional,"Rs 10,83,78,211 ~ 10 Crore+","Rs 3,66,54,813 ~ 3 Crore+"
432,Amar Sharadrao Kale,WARDHA,Nationalist Congress Party €“ Sharadchandra Pawar,0,12th Pass,"Rs 10,61,75,044 ~ 10 Crore+","Rs 2,95,04,353 ~ 2 Crore+"
433,Amar Singh,FATEHGARH SAHIB (SC),INC,0,Post Graduate,"Rs 5,42,80,612 ~ 5 Crore+",Rs 0 ~
434,Amar Singh,PRATAPGARH,IND,0,Graduate,"Rs 60,55,658 ~ 60 Lacs+","Rs 1,05,000 ~ 1 Lacs+"
435,Amar Singh,FARRUKHABAD,Bharatiya Rashtriya Morcha,0,12th Pass,,
436,Amar Singh,ETAH,IND,0,Illiterate,"Rs 33,98,960 ~ 33 Lacs+",Rs 0 ~
437,Amar Singh Chaudhary,DOMARIYAGANJ,Aazad Samaj Party (Kanshi Ram),0,12th Pass,"Rs 3,43,73,562 ~ 3 Crore+","Rs 1,02,50,000 ~ 1 Crore+"
438,Amar Singh Saini,NAINITAL-UDHAM SINGH NAGAR,Peoples Party of India (Democratic),0,12th Pass,"Rs 37,63,343 ~ 37 Lacs+",Rs 0 ~
439,Amarchand,SIKAR,BSP,0,Post Graduate,"Rs 5,76,000 ~ 5 Lacs+",Rs 0 ~
440,Amaresh,RAICHUR (ST),IND,1,10th Pass,,
441,Amaresh Ray,UJIARPUR,IND,3,10th Pass,"Rs 2,92,53,500 ~ 2 Crore+","Rs 50,000 ~ 50 Thou+"
442,Amarjeet Singh Jatav,MORADABAD,IND,1,Post Graduate,"Rs 4,80,000 ~ 4 Lacs+",Rs 0 ~
443,Amarjit Kaur Sahoke,FARIDKOT (SC),INC,0,12th Pass,"Rs 1,77,39,246 ~ 1 Crore+","Rs 20,55,000 ~ 20 Lacs+"
444,Amarjit Singh Jagde Raho,PATIALA,Jan Janwadi Party,1,8th Pass,"Rs 30,76,000 ~ 30 Lacs+",Rs 0 ~
445,Amarnath,NAGARKURNOOL (SC),India Praja Bandhu Party,0,10th Pass,,
446,Amarnath Chandrakar,RAIPUR,IND,0,10th Pass,"Rs 1,84,61,255 ~ 1 Crore+",Rs 0 ~
447,Amarnath Chowdhury,ASANSOL,SUCI(C),0,Others,"Rs 1,60,72,591 ~ 1 Crore+",Rs 0 ~
448,Amarpal,BAGHPAT,SP,9,12th Pass,"Rs 39,66,31,454 ~ 39 Crore+","Rs 10,50,000 ~ 10 Lacs+"
449,Amarsing Tisso,DIPHU (ST),BJP,0,12th Pass,"Rs 22,78,63,561 ~ 22 Crore+","Rs 5,40,75,091 ~ 5 Crore+"
450,Amarthaluri Venkateswara Rao,GUNTUR,Marxist Communist Party of India (United),4,Graduate Professional,,
451,Ambadas Sopanrao Hulsure,BIDAR,Bahujan Bharat Party,0,12th Pass,"Rs 13,58,862 ~ 13 Lacs+",Rs 0 ~
452,Ambadas Sukaji Gade,HINGOLI,IND,0,Literate,"Rs 83,65,986 ~ 83 Lacs+",Rs 0 ~
453,Ambati Chalamaiah,GUNTUR,Pyramid Party of India,0,Graduate,"Rs 2,90,000 ~ 2 Lacs+",Rs 0 ~
454,Ambedakari Hasanuram Ambedakari,AGRA (SC),IND,1,Literate,"Rs 12,963 ~ 12 Thou+",Rs 0 ~
455,Ambedkar C,SALEM,Ambedkarite Party of India,0,8th Pass,,
456,Ambedkar Prakash Yashwant,AKOLA,Vanchit Bahujan Aaghadi,6,Graduate Professional,"Rs 6,56,71,169 ~ 6 Crore+",Rs 0 ~
457,Ambedkar. C. J,MYSORE,IND,0,Others,"Rs 5,56,000 ~ 5 Lacs+","Rs 5,19,011 ~ 5 Lacs+"
458,Ambi Hanumanth Rao,HYDERABAD,Socialist Party (India),0,12th Pass,"Rs 13,60,000 ~ 13 Lacs+",Rs 0 ~
459,Ambica G Lakshminarayana Valmiki,ANANTHAPUR,TDP,8,Graduate,"Rs 4,75,40,056 ~ 4 Crore+","Rs 21,19,559 ~ 21 Lacs+"
460,Ambivenkatesan,TIRUCHIRAPPALLI,IND,1,8th Pass,,
461,Amboju Buddaiah,WARANGAL (SC),Alliance of Democratic Reforms Party,0,5th Pass,"Rs 23,85,000 ~ 23 Lacs+",Rs 0 ~
